@N: MF284 |Setting synthesis effort to medium for the design
@N: MF916 |Option synthesis_strategy=base is enabled. 
@N: MF248 |Running in 64-bit mode.
@N: MF667 |Clock conversion disabled. (Command "set_option -fix_gated_and_generated_clocks 0" in the project file.)
@N: MF284 |Setting synthesis effort to medium for the design
@N: MT206 |Auto Constrain mode is enabled
@N: FX702 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Found startup values on RAM instance genblk1\.u_rom_himax_cfg.lscc_ram_dq_inst.mem[15:0] (in view: work.lsc_i2cm_himax_80_0_324x324_dim_0_1_2_3_7(verilog)).
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_0 = 256'h0x00C03050000A304700003045000A304400081007000810030000010000000103.
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_1 = 256'h0x001F30580029305700F8305600F7305500033054000030530050305200423051.
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_2 = 256'h0x00011006007F03500032100200401001004310000004306500003064001E3059.
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_3 = 256'h0x0000200300072000000010120040100C0090100B0060100A00A0100900001008.
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_4 = 256'h0x0000201300B820100000200F007A200C0000200B0058200800002007001C2004.
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_5 = 256'h0x0033210800A42106000321050007210400002100009B20180000201700582014.
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_6 = 256'h0x000C034000032150001721120001211100E921100000210F0080210B0000210A.
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_7 = 256'h0x00423059000003900000038700000383000030100078034300010342005C0341.
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_8 = 256'h0x00013067002030610000020F0040210200802101000501000000010100513060.
@N: FX276 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Initial value mem_0_0.INITVAL_9 = 256'h0x0000000000000000000000000000000000000000000000000030020500000104.
@N: FX702 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dq/rtl\lscc_ram_dq.v":346:8:346:13|Found startup values on RAM instance genblk1\.u_rom_himax_cfg.lscc_ram_dq_inst.mem[15:0]
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_i2cm_himax.v":88:0:88:5|Found counter in view:work.lsc_i2cm_himax_80_0_324x324_dim_0_1_2_3_7(verilog) instance i2c_cnt[6:0] 
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_i2cm_16.v":63:0:63:5|Found counter in view:work.lsc_i2cm_16(verilog) instance main_cnt[7:0] 
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_i2cm_16.v":46:0:46:5|Found counter in view:work.lsc_i2cm_16(verilog) instance interval_cnt[5:0] 
@N: BN362 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":284:0:284:5|Removing sequential instance o_dout[3] (in view: work.lsc_uart_103_512_0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":284:0:284:5|Removing sequential instance o_dout[4] (in view: work.lsc_uart_103_512_0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":284:0:284:5|Removing sequential instance o_dout[5] (in view: work.lsc_uart_103_512_0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":284:0:284:5|Removing sequential instance o_dout[6] (in view: work.lsc_uart_103_512_0(verilog)) because it does not drive other instances.
@N: BN362 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":284:0:284:5|Removing sequential instance o_dout[7] (in view: work.lsc_uart_103_512_0(verilog)) because it does not drive other instances.
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":87:0:87:5|Found counter in view:work.lsc_uart_103_512_0(verilog) instance fifo_raddr[11:0] 
@N: MF179 :|Found 9 by 9 bit equality operator ('==') fifo_full (in view: work.lsc_uart_103_512_0(verilog))
@N: MF179 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":132:12:132:44|Found 12 by 12 bit equality operator ('==') un1_fifo_raddr_clk (in view: work.lsc_uart_103_512_0(verilog))
@N: MF179 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\lsc_uart.v":141:19:141:74|Found 9 by 9 bit equality operator ('==') r_fifo_empty_2 (in view: work.lsc_uart_103_512_0(verilog))
@N: MO231 :"c:\users\vrang\documents\github\senseai\som\himax\himax_humandet\src\common\spi_loader_tri_spram.v":215:4:215:9|Found counter in view:work.spi_loader_tri_spram(verilog) instance wd_cnt[15:0] 
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[24] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
@N: BN362 :"c:\lscc\radiant\1.1\ip\pmi\../common/ram_dp/rtl\lscc_ram_dp.v":200:8:200:13|Removing sequential instance u_ram256x32_ro.lscc_ram_dp_inst.genblk1\.dataout_reg_buffer[25] (in view: work.ice40_himax_video_process_64_NONE_UNSIGNED(verilog)) of type view:PrimLib.dff(prim) because it does not drive other instances.
